"Genus","stage","extinct","mass_ext","log_range","log_bodysize"
"Triproetus",36,1,0,-0.751164201,-0.005761389
"Trochurus",6,0,0,-0.364187182,0.724119282
"Trochurus",9,0,0,-0.674186614,0.724119282
"Trochurus",11,0,0,0.217024477,0.724119282
"Trochurus",12,1,0,-1.009377896,0.724119282
"Tropidocare",16,1,0,-0.491527573,-0.610687133
"Tropidocoryphe",12,0,0,-1.009377896,0.064665658
"Tropidocoryphe",16,0,0,-1.459326062,0.064665658
"Tropidocoryphe",17,0,0,-0.052567304,0.064665658
"Tropidocoryphe",19,0,0,0.867162728,0.064665658
"Tropidocoryphe",20,1,0,-1.006880796,0.064665658
"Tropidopyge",1,1,0,0.805558846,-0.409420043
"Trypaulites",19,1,0,0.345422432,0.995705852
"Tsinania",1,1,0,0.545484618,0.332407324
"Tungtzuella",1,1,0,0.745447954,-0.632139091
"Typhloniscus",18,1,0,0.590977494,0.783171025
"Ulrichaspis",1,1,0,-1.305024977,0.251544855
"Unguliproetus",15,0,0,-1.099213968,-0.500567886
"Unguliproetus",17,0,0,-0.052567304,-0.500567886
"Unguliproetus",19,1,0,-0.204016007,-0.500567886
"Uralichas",4,1,0,0.600010803,1.329552334
"Uripes",12,0,0,-1.009377896,-0.032023474
"Uripes",13,1,0,-1.049978635,-0.032023474
"Uromystrum",2,0,0,-0.73925552,0.522738861
"Uromystrum",4,1,0,-1.234632203,0.522738861
"Varvia",1,1,0,0.197948584,-0.479222789
"Viaphacops",19,0,0,0.575537056,0.978269313
"Viaphacops",20,1,0,0.478276543,0.978269313
"Vidria",33,0,0,-1.435285181,-0.522621478
"Vidria",34,1,0,0.79210099,-0.522621478
"Vogdesia",4,1,0,-1.234632203,1.240170159
"Walencrinuroides",5,1,0,-0.945683692,-0.276559165
"Warburgella",10,0,0,1.039233039,-0.865740922
"Warburgella",11,0,0,-0.7153814,-0.865740922
"Warburgella",12,0,0,-0.673452312,-0.865740922
"Warburgella",15,0,0,1.085301537,-0.865740922
"Warburgella",16,1,0,0.783715012,-0.865740922
"Waribole",23,0,0,0,-0.872478506
"Waribole",24,1,0,1.141668789,-0.872478506
"Weania",23,0,0,-1.201483295,-0.17994068
"Weania",24,0,0,0.205481426,-0.17994068
"Weania",30,0,0,-0.771346118,-0.17994068
"Weania",35,1,0,0,-0.17994068
"Weberides",25,1,0,0,-0.065175181
"Weberopeltis",17,0,0,0.682764639,0.703983286
"Weberopeltis",18,1,0,-0.9059852,0.703983286
"Whittingtonia",6,0,0,-1.185468733,-0.045315329
"Whittingtonia",9,1,0,-1.025088558,-0.045315329
"Wolayella",17,0,0,0.620177958,-0.587177047
"Wolayella",18,1,0,-0.9059852,-0.587177047
"Xenocybe",5,0,0,-0.945683692,-0.926268733
"Xenocybe",6,1,0,-1.185468733,-0.926268733
"Xenostegium",1,1,0,0.466153486,1.081369379
"Xiphogonium",18,0,0,-0.9059852,-0.578814999
"Xiphogonium",19,1,0,-1.300501397,-0.578814999
"Xuanenia",6,1,0,0.865039454,-0.776037849
"Xystocrania",3,0,0,-0.596780284,-1.056036356
"Xystocrania",4,1,0,-1.234632203,-1.056036356
"Yosimuraspis",1,1,0,0.652053793,1.049681388
"Youngia",9,0,0,1.108999442,-0.572778608
"Youngia",10,0,0,1.054405336,-0.572778608
"Youngia",11,0,0,-1.282184733,-0.572778608
"Youngia",13,0,0,-1.049978635,-0.572778608
"Youngia",14,1,0,0,-0.572778608
"Yukonaspis",1,1,0,0.719885006,-0.841636064
"Zacompsus",1,1,0,0.722473483,-1.4222046
"Zeliszkella",4,0,0,0.687911194,0.416831693
"Zeliszkella",5,0,0,0.197685759,0.416831693
"Zeliszkella",6,1,0,-1.185468733,0.416831693
